condition,comparison_group,source_dataset_name,recipe_id,recipe_instance_id,recipe_label,variant,manifest_path,input_jsonl,source_manifest,source_jsonl,jobs_jsonl,augmented_manifest,distorted_output_dir,benchmark_output_dir,detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,artifacts_dir,prediction_artifacts_path,metrics_artifacts_path,log_path,command
clean,Dataset-1,Dataset-1,,,,,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1.json,,,,,,,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1,mesonet,MesoNet,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,72.29,0.48255451713395636,0.6897865874730021,0.356,0.579608411618936,0.6897865874730021,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1/test_artifacts/mesonet__Dataset-1,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1/test_artifacts/mesonet__Dataset-1/Dataset-1/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1/test_artifacts/mesonet__Dataset-1/Dataset-1/metrics.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1/logs/mesonet__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/evaluation_dataset_json --test_dataset Dataset-1 --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1/test_artifacts/mesonet__Dataset-1
clean,Dataset-1,Dataset-1,,,,,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1.json,,,,,,,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1,mesoinception,MesoInception,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,75.522,0.5604361370716511,0.5606840172786177,0.444,0.5210773763478277,0.5606840172786177,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1/test_artifacts/mesoinception__Dataset-1,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1/test_artifacts/mesoinception__Dataset-1/Dataset-1/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1/test_artifacts/mesoinception__Dataset-1/Dataset-1/metrics.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1/logs/mesoinception__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/evaluation_dataset_json --test_dataset Dataset-1 --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1/test_artifacts/mesoinception__Dataset-1
clean,Dataset-1,Dataset-1,,,,,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1.json,,,,,,,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1,xception,Xception,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,228.652,0.6425752855659398,0.661575313174946,0.392,0.698849867621627,0.661575313174946,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1/test_artifacts/xception__Dataset-1,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1/test_artifacts/xception__Dataset-1/Dataset-1/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1/test_artifacts/xception__Dataset-1/Dataset-1/metrics.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1/logs/xception__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/evaluation_dataset_json --test_dataset Dataset-1 --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1/test_artifacts/xception__Dataset-1
clean,NVIDIA-dataset,NVIDIA-dataset,,,,,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset.json,,,,,,,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset,mesonet,MesoNet,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,89.483,0.50065,0.51938042,0.4849,0.5005343575423739,0.51938042,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset/test_artifacts/mesonet__NVIDIA-dataset,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset/test_artifacts/mesonet__NVIDIA-dataset/NVIDIA-dataset/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset/test_artifacts/mesonet__NVIDIA-dataset/NVIDIA-dataset/metrics.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset/logs/mesonet__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/evaluation_dataset_json --test_dataset NVIDIA-dataset --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset/test_artifacts/mesonet__NVIDIA-dataset
clean,NVIDIA-dataset,NVIDIA-dataset,,,,,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset.json,,,,,,,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset,mesoinception,MesoInception,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,92.302,0.47755,0.467774925,0.5226,0.4724492762690568,0.467774925,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset/test_artifacts/mesoinception__NVIDIA-dataset,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset/test_artifacts/mesoinception__NVIDIA-dataset/NVIDIA-dataset/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset/test_artifacts/mesoinception__NVIDIA-dataset/NVIDIA-dataset/metrics.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset/logs/mesoinception__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/evaluation_dataset_json --test_dataset NVIDIA-dataset --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset/test_artifacts/mesoinception__NVIDIA-dataset
clean,NVIDIA-dataset,NVIDIA-dataset,,,,,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset.json,,,,,,,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset,xception,Xception,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,561.713,0.47255,0.430087405,0.5598,0.45829074175490203,0.430087405,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset/test_artifacts/xception__NVIDIA-dataset,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset/test_artifacts/xception__NVIDIA-dataset/NVIDIA-dataset/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset/test_artifacts/xception__NVIDIA-dataset/NVIDIA-dataset/metrics.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset/logs/xception__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/evaluation_dataset_json --test_dataset NVIDIA-dataset --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset/test_artifacts/xception__NVIDIA-dataset
distorted,Dataset-1,Dataset-1,noise_v1,noise_v1__d23d8d061a,noise,0,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/generated_dataset_json/Dataset-1__noise_v1__d23d8d061a__v0.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/augmented/Dataset-1.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/source_jsonl/Dataset-1__test.jsonl,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/jobs/Dataset-1.jsonl,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/augmented/Dataset-1.jsonl,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/distorted_outputs/Dataset-1,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0,mesonet,MesoNet,naive,Dataset-1__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,83.45,0.48276220145379023,0.7687408423326134,0.297,0.6738445068645411,0.7687408423326134,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__Dataset-1__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__Dataset-1__noise_v1__d23d8d061a__v0/Dataset-1__noise_v1__d23d8d061a__v0/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__Dataset-1__noise_v1__d23d8d061a__v0/Dataset-1__noise_v1__d23d8d061a__v0/metrics.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0/logs/mesonet__Dataset-1__noise_v1__d23d8d061a__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/evaluation_dataset_json --test_dataset Dataset-1__noise_v1__d23d8d061a__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__Dataset-1__noise_v1__d23d8d061a__v0
distorted,Dataset-1,Dataset-1,noise_v1,noise_v1__d23d8d061a,noise,0,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/generated_dataset_json/Dataset-1__noise_v1__d23d8d061a__v0.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/augmented/Dataset-1.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/source_jsonl/Dataset-1__test.jsonl,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/jobs/Dataset-1.jsonl,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/augmented/Dataset-1.jsonl,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/distorted_outputs/Dataset-1,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0,mesoinception,MesoInception,naive,Dataset-1__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,76.183,0.6205607476635514,0.6568867818574513,0.377,0.6201661719510891,0.6568867818574513,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__Dataset-1__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__Dataset-1__noise_v1__d23d8d061a__v0/Dataset-1__noise_v1__d23d8d061a__v0/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__Dataset-1__noise_v1__d23d8d061a__v0/Dataset-1__noise_v1__d23d8d061a__v0/metrics.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0/logs/mesoinception__Dataset-1__noise_v1__d23d8d061a__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/evaluation_dataset_json --test_dataset Dataset-1__noise_v1__d23d8d061a__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0/test_artifacts/mesoinception__Dataset-1__noise_v1__d23d8d061a__v0
distorted,Dataset-1,Dataset-1,noise_v1,noise_v1__d23d8d061a,noise,0,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/generated_dataset_json/Dataset-1__noise_v1__d23d8d061a__v0.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/augmented/Dataset-1.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/Dataset-1.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/source_jsonl/Dataset-1__test.jsonl,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/jobs/Dataset-1.jsonl,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/augmented/Dataset-1.jsonl,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/distorted_outputs/Dataset-1,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0,xception,Xception,naive,Dataset-1__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,257.086,0.518276220145379,0.40690457883369335,0.5752,0.4475007165762366,0.40690457883369335,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0/test_artifacts/xception__Dataset-1__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0/test_artifacts/xception__Dataset-1__noise_v1__d23d8d061a__v0/Dataset-1__noise_v1__d23d8d061a__v0/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0/test_artifacts/xception__Dataset-1__noise_v1__d23d8d061a__v0/Dataset-1__noise_v1__d23d8d061a__v0/metrics.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0/logs/xception__Dataset-1__noise_v1__d23d8d061a__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/evaluation_dataset_json --test_dataset Dataset-1__noise_v1__d23d8d061a__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/Dataset-1__noise_v1__d23d8d061a__v0/test_artifacts/xception__Dataset-1__noise_v1__d23d8d061a__v0
distorted,NVIDIA-dataset,NVIDIA-dataset,noise_v1,noise_v1__d23d8d061a,noise,0,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/generated_dataset_json/NVIDIA-dataset__noise_v1__d23d8d061a__v0.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/augmented/NVIDIA-dataset.jsonl,/Users/Hao/thesis-project/preprocessing/dataset_json/NVIDIA-dataset.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/source_jsonl/NVIDIA-dataset__test.jsonl,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/jobs/NVIDIA-dataset.jsonl,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/augmented/NVIDIA-dataset.jsonl,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/work/distorted_outputs/NVIDIA-dataset,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset__noise_v1__d23d8d061a__v0,mesonet,MesoNet,naive,NVIDIA-dataset__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,81.79,0.5005,0.5285871449999999,0.4773,0.5097214819284867,0.5285871449999999,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__NVIDIA-dataset__noise_v1__d23d8d061a__v0,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__NVIDIA-dataset__noise_v1__d23d8d061a__v0/NVIDIA-dataset__noise_v1__d23d8d061a__v0/predictions.csv,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__NVIDIA-dataset__noise_v1__d23d8d061a__v0/NVIDIA-dataset__noise_v1__d23d8d061a__v0/metrics.json,/Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset__noise_v1__d23d8d061a__v0/logs/mesonet__NVIDIA-dataset__noise_v1__d23d8d061a__v0.log,/Users/Hao/miniconda3/envs/DeepfakeBench311/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --dataset_json_folder /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/evaluation_dataset_json --test_dataset NVIDIA-dataset__noise_v1__d23d8d061a__v0 --export_artifacts_dir /Users/Hao/thesis-project/training/results/final_full_noise_top3_prepare/benchmark_runs/NVIDIA-dataset__noise_v1__d23d8d061a__v0/test_artifacts/mesonet__NVIDIA-dataset__noise_v1__d23d8d061a__v0
