detector_key,detector_name,dataset,condition,recipe_label,real_total,real_correct,real_wrong,real_accuracy,fake_total,fake_correct,fake_wrong,fake_accuracy,overall_accuracy_from_predictions,balanced_accuracy,better_class,prediction_artifacts_path
mesonet,MesoNet,Dataset-1,clean,clean,5000,17,4983,0.003400,4630,4630,0,1.000000,0.482555,0.501700,fake,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/Dataset-1/test_artifacts/mesonet__Dataset-1/Dataset-1/predictions.csv
mesoinception,MesoInception,Dataset-1,clean,clean,5000,3450,1550,0.690000,4630,1947,2683,0.420518,0.560436,0.555259,real,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/Dataset-1/test_artifacts/mesoinception__Dataset-1/Dataset-1/predictions.csv
xception,Xception,Dataset-1,clean,clean,5000,4769,231,0.953800,4630,1419,3211,0.306479,0.642575,0.630140,real,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/Dataset-1/test_artifacts/xception__Dataset-1/Dataset-1/predictions.csv
mesonet,MesoNet,NVIDIA-dataset,clean,clean,10000,24,9976,0.002400,10000,9989,11,0.998900,0.500650,0.500650,fake,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/NVIDIA-dataset/test_artifacts/mesonet__NVIDIA-dataset/NVIDIA-dataset/predictions.csv
mesoinception,MesoInception,NVIDIA-dataset,clean,clean,10000,4877,5123,0.487700,10000,4674,5326,0.467400,0.477550,0.477550,real,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/NVIDIA-dataset/test_artifacts/mesoinception__NVIDIA-dataset/NVIDIA-dataset/predictions.csv
xception,Xception,NVIDIA-dataset,clean,clean,10000,6941,3059,0.694100,10000,2510,7490,0.251000,0.472550,0.472550,real,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/NVIDIA-dataset/test_artifacts/xception__NVIDIA-dataset/NVIDIA-dataset/predictions.csv
mesonet,MesoNet,Dataset-1__gaussian_blur_v1__4a1525bdf7__v0,distorted,gaussian_blur,5000,0,5000,0.000000,4630,4630,0,1.000000,0.480789,0.500000,fake,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesonet__Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/predictions.csv
mesoinception,MesoInception,Dataset-1__gaussian_blur_v1__4a1525bdf7__v0,distorted,gaussian_blur,5000,1258,3742,0.251600,4630,3446,1184,0.744276,0.488474,0.497938,fake,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/mesoinception__Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/predictions.csv
xception,Xception,Dataset-1__gaussian_blur_v1__4a1525bdf7__v0,distorted,gaussian_blur,5000,4157,843,0.831400,4630,1815,2815,0.392009,0.620145,0.611704,real,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/test_artifacts/xception__Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/Dataset-1__gaussian_blur_v1__4a1525bdf7__v0/predictions.csv
mesonet,MesoNet,Dataset-1__jpeg_compress_v1__074f6a9a12__v0,distorted,jpeg,5000,29,4971,0.005800,4630,4630,0,1.000000,0.483801,0.502900,fake,/Users/Hao/thesis-project/training/results/final_full_thesis_matrix_top3/benchmark_runs/Dataset-1__jpeg_compress_v1__074f6a9a12__v0/test_artifacts/mesonet__Dataset-1__jpeg_compress_v1__074f6a9a12__v0/Dataset-1__jpeg_compress_v1__074f6a9a12__v0/predictions.csv
