detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,log_path,command
xception,Xception,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,xception_default,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/xception__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset Dataset-1
xception,Xception,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,xception_default,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/xception__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset NVIDIA-dataset
mesonet,MesoNet,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,auto_match,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/mesonet__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset Dataset-1
mesonet,MesoNet,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,auto_match,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/mesonet__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset NVIDIA-dataset
mesoinception,MesoInception,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,auto_match,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/mesoinception__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset Dataset-1
mesoinception,MesoInception,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,auto_match,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/mesoinception__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset NVIDIA-dataset
cnn-aug,CNN-Aug,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/resnet34.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,auto_match,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/cnn-aug__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/resnet34.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset Dataset-1
cnn-aug,CNN-Aug,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/resnet34.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,auto_match,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/cnn-aug__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/resnet34.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset NVIDIA-dataset
efficientnet-b4,EfficientNet-B4,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,auto_match,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/efficientnet-b4__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset Dataset-1
efficientnet-b4,EfficientNet-B4,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,auto_match,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/efficientnet-b4__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset NVIDIA-dataset
capsule,Capsule,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/capsule_net.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,auto_match,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/capsule__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/capsule_net.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset Dataset-1
capsule,Capsule,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/capsule_net.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,auto_match,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/capsule__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/capsule_net.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset NVIDIA-dataset
dsp-fwa,DSP-FWA,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/fwa.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,auto_match,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/dsp-fwa__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/fwa.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset Dataset-1
dsp-fwa,DSP-FWA,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/fwa.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,auto_match,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/dsp-fwa__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/fwa.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset NVIDIA-dataset
face-xray,Face X-ray,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/facexray.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,auto_match,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/face-xray__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/facexray.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset Dataset-1
face-xray,Face X-ray,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/facexray.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,auto_match,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/face-xray__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/facexray.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset NVIDIA-dataset
ffd,FFD,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/ffd.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,auto_match,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun/logs/ffd__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/ffd.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset Dataset-1
