detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,log_path,command
xception,Xception,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,xception_default,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/xception__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset Dataset-1
xception,Xception,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,xception_default,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/xception__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset NVIDIA-dataset
mesonet,MesoNet,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/mesonet__Dataset-1.log,
mesonet,MesoNet,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/mesonet__NVIDIA-dataset.log,
mesoinception,MesoInception,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/mesoinception__Dataset-1.log,
mesoinception,MesoInception,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/mesoinception__NVIDIA-dataset.log,
cnn-aug,CNN-Aug,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/resnet34.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/cnn-aug__Dataset-1.log,
cnn-aug,CNN-Aug,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/resnet34.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/cnn-aug__NVIDIA-dataset.log,
efficientnet-b4,EfficientNet-B4,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/efficientnet-b4__Dataset-1.log,
efficientnet-b4,EfficientNet-B4,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/spatial_champions_dryrun_spatial_only/logs/efficientnet-b4__NVIDIA-dataset.log,
