detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,log_path,command
xception,Xception,naive,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,xception_default,success,,0,mps,26.931,0.631,0.6656719999999999,0.392,0.7117617465412283,0.6656719999999999,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/xception__Dataset-1-mini.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset Dataset-1-mini
xception,Xception,naive,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,xception_default,success,,0,mps,26.354,0.462,0.39796,0.582,0.43476062054663017,0.39796,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/xception__NVIDIA-dataset-mini.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset NVIDIA-dataset-mini
mesonet,MesoNet,naive,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/mesonet__Dataset-1-mini.log,
mesonet,MesoNet,naive,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/mesonet__NVIDIA-dataset-mini.log,
mesoinception,MesoInception,naive,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/mesoinception__Dataset-1-mini.log,
mesoinception,MesoInception,naive,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/mesoinception__NVIDIA-dataset-mini.log,
cnn-aug,CNN-Aug,naive,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/resnet34.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/cnn-aug__Dataset-1-mini.log,
cnn-aug,CNN-Aug,naive,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/resnet34.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/cnn-aug__NVIDIA-dataset-mini.log,
efficientnet-b4,EfficientNet-B4,naive,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/efficientnet-b4__Dataset-1-mini.log,
efficientnet-b4,EfficientNet-B4,naive,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/efficientnet-b4__NVIDIA-dataset-mini.log,
capsule,Capsule,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/capsule_net.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/capsule__Dataset-1-mini.log,
capsule,Capsule,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/capsule_net.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/capsule__NVIDIA-dataset-mini.log,
dsp-fwa,DSP-FWA,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/fwa.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/dsp-fwa__Dataset-1-mini.log,
dsp-fwa,DSP-FWA,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/fwa.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/dsp-fwa__NVIDIA-dataset-mini.log,
face-xray,Face X-ray,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/facexray.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/face-xray__Dataset-1-mini.log,
face-xray,Face X-ray,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/facexray.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/face-xray__NVIDIA-dataset-mini.log,
ffd,FFD,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/ffd.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/ffd__Dataset-1-mini.log,
ffd,FFD,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/ffd.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/ffd__NVIDIA-dataset-mini.log,
core,CORE,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/core.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/core__Dataset-1-mini.log,
core,CORE,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/core.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/core__NVIDIA-dataset-mini.log,
recce,RECCE,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/recce.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/recce__Dataset-1-mini.log,
recce,RECCE,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/recce.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/recce__NVIDIA-dataset-mini.log,
ucf,UCF,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/ucf.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/ucf__Dataset-1-mini.log,
ucf,UCF,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/ucf.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/ucf__NVIDIA-dataset-mini.log,
local-relation,Local-relation,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/lrl.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/local-relation__Dataset-1-mini.log,
local-relation,Local-relation,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/lrl.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/local-relation__NVIDIA-dataset-mini.log,
iid,IID,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/iid.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/iid__Dataset-1-mini.log,
iid,IID,spatial,NVIDIA-dataset-mini,/Users/Hao/thesis-project/training/config/detector/iid.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/iid__NVIDIA-dataset-mini.log,
rfm,RFM,spatial,Dataset-1-mini,/Users/Hao/thesis-project/training/config/detector/rfm.yaml,,not_found,missing_weight,No matching .pth found,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_a_spatial/logs/rfm__Dataset-1-mini.log,
