detector_key,detector_name,family,runs_expected,runs_success,complete,acc_mean,auc_mean,eer_mean,ap_mean,auc_gap,runtime_total_sec,runtime_norm,score,status_note
mesonet,MesoNet,naive,2,2,1,0.50105,0.60818285,0.4207,0.5532715224786929,0.18300278000000003,168.326,0.0,0.41019453839573866,ok
xception,Xception,naive,2,2,1,0.55145,0.54428937,0.47829999999999995,0.5856933454960825,0.24186109999999994,289.94399999999996,0.25388230038431586,0.35056390656847125,ok
mesoinception,MesoInception,naive,2,2,1,0.5163,0.5144035,0.48319999999999996,0.5068902224597014,0.10102308000000004,173.0,0.009757156605077328,0.3505466273635341,ok
capsule,Capsule,spatial,2,2,1,0.47004999999999997,0.42815123,0.5543,0.4869148088990707,0.08875273999999994,568.153,0.8346543975049737,0.2193034576794163,ok
recce,RECCE,spatial,2,2,1,0.49369999999999997,0.39710062,0.5776,0.45758941723360835,0.08667259999999993,647.3589999999999,1.0,0.18225251244672175,ok
cnn-aug,CNN-Aug,naive,2,2,1,0.3581,0.29884205,0.6403000000000001,0.3938546540028206,0.24300602000000007,286.26,0.24619180724501238,0.1340429913209632,ok
clip,CLIP,spatial,2,0,0,,,,,,,,,incomplete_or_failed
core,CORE,spatial,2,0,0,,,,,,,,,incomplete_or_failed
dsp-fwa,DSP-FWA,spatial,2,0,0,,,,,,,,,incomplete_or_failed
efficientnet-b4,EfficientNet-B4,naive,2,0,0,,,,,,,,,incomplete_or_failed
effort,Effort,spatial,2,0,0,,,,,,,,,incomplete_or_failed
face-xray,Face X-ray,spatial,2,0,0,,,,,,,,,incomplete_or_failed
ffd,FFD,spatial,2,0,0,,,,,,,,,incomplete_or_failed
iid,IID,spatial,2,0,0,,,,,,,,,incomplete_or_failed
local-relation,Local-relation,spatial,2,0,0,,,,,,,,,incomplete_or_failed
lsda,LSDA,spatial,2,0,0,,,,,,,,,incomplete_or_failed
multi-attention,Multi-Attention,spatial,2,0,0,,,,,,,,,incomplete_or_failed
pcl-i2g,PCL-I2G,spatial,2,0,0,,,,,,,,,incomplete_or_failed
rfm,RFM,spatial,2,0,0,,,,,,,,,incomplete_or_failed
sbi,SBI,spatial,2,0,0,,,,,,,,,incomplete_or_failed
sia,SIA,spatial,2,0,0,,,,,,,,,incomplete_or_failed
sladd,SLADD,spatial,2,0,0,,,,,,,,,incomplete_or_failed
ucf,UCF,spatial,2,0,0,,,,,,,,,incomplete_or_failed
uia-vit,UIA-ViT,spatial,2,0,0,,,,,,,,,incomplete_or_failed
