detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,log_path,command
xception,Xception,naive,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/xception__Dataset-1-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset Dataset-1-stageB
xception,Xception,naive,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/xception__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset NVIDIA-dataset-stageB
mesonet,MesoNet,naive,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/mesonet__Dataset-1-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --test_dataset Dataset-1-stageB
mesonet,MesoNet,naive,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/mesonet__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --test_dataset NVIDIA-dataset-stageB
mesoinception,MesoInception,naive,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/mesoinception__Dataset-1-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --test_dataset Dataset-1-stageB
mesoinception,MesoInception,naive,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/mesoinception__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --test_dataset NVIDIA-dataset-stageB
cnn-aug,CNN-Aug,naive,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/resnet34.yaml,/Users/Hao/thesis-project/training/weights/cnnaug_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/cnn-aug__Dataset-1-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/resnet34.yaml --weights_path /Users/Hao/thesis-project/training/weights/cnnaug_best.pth --test_dataset Dataset-1-stageB
cnn-aug,CNN-Aug,naive,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/resnet34.yaml,/Users/Hao/thesis-project/training/weights/cnnaug_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/cnn-aug__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/resnet34.yaml --weights_path /Users/Hao/thesis-project/training/weights/cnnaug_best.pth --test_dataset NVIDIA-dataset-stageB
efficientnet-b4,EfficientNet-B4,naive,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml,/Users/Hao/thesis-project/training/weights/effnb4_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/efficientnet-b4__Dataset-1-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml --weights_path /Users/Hao/thesis-project/training/weights/effnb4_best.pth --test_dataset Dataset-1-stageB
efficientnet-b4,EfficientNet-B4,naive,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml,/Users/Hao/thesis-project/training/weights/effnb4_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/efficientnet-b4__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml --weights_path /Users/Hao/thesis-project/training/weights/effnb4_best.pth --test_dataset NVIDIA-dataset-stageB
capsule,Capsule,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/capsule_net.yaml,/Users/Hao/thesis-project/training/weights/capsule_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/capsule__Dataset-1-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/capsule_net.yaml --weights_path /Users/Hao/thesis-project/training/weights/capsule_best.pth --test_dataset Dataset-1-stageB
capsule,Capsule,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/capsule_net.yaml,/Users/Hao/thesis-project/training/weights/capsule_best.pth,explicit,dry_run,,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/capsule__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/capsule_net.yaml --weights_path /Users/Hao/thesis-project/training/weights/capsule_best.pth --test_dataset NVIDIA-dataset-stageB
dsp-fwa,DSP-FWA,spatial,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/fwa.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/fwa_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/dsp-fwa__Dataset-1-stageB.log,
dsp-fwa,DSP-FWA,spatial,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/fwa.yaml,,not_found,missing_weight,expected:/Users/Hao/thesis-project/training/weights/fwa_best.pth,,,,,,,,,/Users/Hao/thesis-project/training/results/stage_b_spatial_dryrun_after_weights/logs/dsp-fwa__NVIDIA-dataset-stageB.log,
