detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,log_path,command
xception,Xception,naive,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,103.428,0.6302,0.66521992,0.3896,0.7153706363779365,0.66521992,/Users/Hao/thesis-project/training/results/stage_b_spatial/logs/xception__Dataset-1-stageB.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset Dataset-1-stageB
xception,Xception,naive,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,186.516,0.4727,0.42335882,0.567,0.4560160546142286,0.42335882,/Users/Hao/thesis-project/training/results/stage_b_spatial/logs/xception__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset NVIDIA-dataset-stageB
mesonet,MesoNet,naive,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,83.511,0.5014,0.6996842400000001,0.3556,0.6097301668504156,0.6996842400000001,/Users/Hao/thesis-project/training/results/stage_b_spatial/logs/mesonet__Dataset-1-stageB.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --test_dataset Dataset-1-stageB
mesonet,MesoNet,naive,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,84.815,0.5007,0.51668146,0.4858,0.4968128781069703,0.51668146,/Users/Hao/thesis-project/training/results/stage_b_spatial/logs/mesonet__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --test_dataset NVIDIA-dataset-stageB
mesoinception,MesoInception,naive,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,84.196,0.5584,0.56491504,0.442,0.5418729241468043,0.56491504,/Users/Hao/thesis-project/training/results/stage_b_spatial/logs/mesoinception__Dataset-1-stageB.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --test_dataset Dataset-1-stageB
mesoinception,MesoInception,naive,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,88.804,0.4742,0.46389196,0.5244,0.4719075207725984,0.46389196,/Users/Hao/thesis-project/training/results/stage_b_spatial/logs/mesoinception__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --test_dataset NVIDIA-dataset-stageB
cnn-aug,CNN-Aug,naive,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/resnet34.yaml,/Users/Hao/thesis-project/training/weights/cnnaug_best.pth,explicit,success,,0,mps,141.665,0.2664,0.17733903999999998,0.7264,0.33829728184236635,0.17733903999999998,/Users/Hao/thesis-project/training/results/stage_b_spatial/logs/cnn-aug__Dataset-1-stageB.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/resnet34.yaml --weights_path /Users/Hao/thesis-project/training/weights/cnnaug_best.pth --test_dataset Dataset-1-stageB
cnn-aug,CNN-Aug,naive,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/resnet34.yaml,/Users/Hao/thesis-project/training/weights/cnnaug_best.pth,explicit,success,,0,mps,144.595,0.4498,0.42034506000000005,0.5542,0.4494120261632748,0.42034506000000005,/Users/Hao/thesis-project/training/results/stage_b_spatial/logs/cnn-aug__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/resnet34.yaml --weights_path /Users/Hao/thesis-project/training/weights/cnnaug_best.pth --test_dataset NVIDIA-dataset-stageB
efficientnet-b4,EfficientNet-B4,naive,Dataset-1-stageB,/Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml,/Users/Hao/thesis-project/training/weights/effnb4_best.pth,explicit,success,,0,mps,200.298,0.5396,0.44164815999999996,0.5404,0.545121462544694,0.44164815999999996,/Users/Hao/thesis-project/training/results/stage_b_targeted_pretrained/logs/efficientnet-b4__Dataset-1-stageB.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml --weights_path /Users/Hao/thesis-project/training/weights/effnb4_best.pth --test_dataset Dataset-1-stageB
efficientnet-b4,EfficientNet-B4,naive,NVIDIA-dataset-stageB,/Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml,/Users/Hao/thesis-project/training/weights/effnb4_best.pth,explicit,success,,0,mps,331.556,0.4704,0.45047461999999994,0.5348,0.4676132928657334,0.45047461999999994,/Users/Hao/thesis-project/training/results/stage_b_targeted_pretrained/logs/efficientnet-b4__NVIDIA-dataset-stageB.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml --weights_path /Users/Hao/thesis-project/training/weights/effnb4_best.pth --test_dataset NVIDIA-dataset-stageB
