detector_key,detector_name,family,runs_expected,runs_success,complete,acc_mean,auc_mean,eer_mean,ap_mean,auc_gap,runtime_total_sec,runtime_norm,score,status_note
mesonet,MesoNet,naive,2,2,1,0.4916022585669782,0.604583503736501,0.42045,0.5400713845806548,0.1704061674730022,175.199,0.0,0.4061791897311441,ok
mesoinception,MesoInception,naive,2,2,1,0.5189930685358255,0.5142294711393088,0.48329999999999995,0.4967633263084422,0.09290909227861771,183.784,0.0068844676466106765,0.34988333275672795,ok
xception,Xception,naive,2,2,1,0.5575626427829699,0.545831359087473,0.4759,0.5785703046882645,0.23148790817494602,542.993,0.29494069814997476,0.34891876788106857,ok
ffd,FFD,spatial,2,2,1,0.520667549325026,0.5449372142764579,0.4696,0.5318750558319146,0.22425174855291574,767.4580000000001,0.47494326428817735,0.32281156298153335,ok
efficientnet-b4,EfficientNet-B4,naive,2,2,1,0.5115432502596055,0.44232132342332614,0.5413,0.49542426883748997,0.012863813153347725,996.1489999999999,0.6583347366901627,0.25811047016267313,ok
capsule,Capsule,spatial,2,2,1,0.472551298026999,0.4270019671922246,0.5558000000000001,0.4773254646410606,0.0863964543844492,799.36,0.5005260583315291,0.24379164549397936,ok
ucf,UCF,spatial,2,2,1,0.5126240913811007,0.430682127575594,0.548,0.47691643235267767,0.022521965151187873,1422.209,1.0,0.21861822995707983,ok
recce,RECCE,spatial,2,2,1,0.4989994807892004,0.39326500039416845,0.57895,0.44367172788345666,0.0889547092116631,1156.746,0.7871203919776105,0.19444334740879565,ok
core,CORE,spatial,2,2,1,0.48578777258566974,0.33542053510799136,0.62585,0.4178613470703568,0.06042646978401722,778.712,0.48396805157937783,0.17678622048160128,ok
cnn-aug,CNN-Aug,naive,2,2,1,0.35511041017653167,0.29522130494600435,0.6435,0.3841402110807888,0.24646991010799135,391.66999999999996,0.17359203214088095,0.1347220491698839,ok
