detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,log_path,command
xception,Xception,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,189.592,0.6425752855659398,0.661575313174946,0.392,0.698849867621627,0.661575313174946,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/xception__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset Dataset-1
mesonet,MesoNet,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,84.815,0.48255451713395636,0.6897865874730021,0.356,0.579608411618936,0.6897865874730021,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/mesonet__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --test_dataset Dataset-1
mesoinception,MesoInception,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,87.289,0.5604361370716511,0.5606840172786177,0.444,0.5210773763478277,0.5606840172786177,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/mesoinception__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --test_dataset Dataset-1
cnn-aug,CNN-Aug,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/resnet34.yaml,/Users/Hao/thesis-project/training/weights/cnnaug_best.pth,explicit,success,,0,mps,157.13,0.2586708203530633,0.17198634989200867,0.7348,0.3202399691563252,0.17198634989200867,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/cnn-aug__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/resnet34.yaml --weights_path /Users/Hao/thesis-project/training/weights/cnnaug_best.pth --test_dataset Dataset-1
efficientnet-b4,EfficientNet-B4,naive,Dataset-1,/Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml,/Users/Hao/thesis-project/training/weights/effnb4_best.pth,explicit,success,,0,mps,337.431,0.5509865005192108,0.4358894168466523,0.5472,0.524328514354227,0.4358894168466523,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/efficientnet-b4__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml --weights_path /Users/Hao/thesis-project/training/weights/effnb4_best.pth --test_dataset Dataset-1
capsule,Capsule,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/capsule_net.yaml,/Users/Hao/thesis-project/training/weights/capsule_best.pth,explicit,success,,0,mps,340.166,0.532502596053998,0.4702001943844492,0.524,0.5225275418031223,0.4702001943844492,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/capsule__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/capsule_net.yaml --weights_path /Users/Hao/thesis-project/training/weights/capsule_best.pth --test_dataset Dataset-1
ffd,FFD,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/ffd.yaml,/Users/Hao/thesis-project/training/weights/ffd_best.pth,explicit,success,,0,mps,269.682,0.587435098650052,0.6570630885529157,0.3878,0.618560041574251,0.6570630885529157,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/ffd__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/ffd.yaml --weights_path /Users/Hao/thesis-project/training/weights/ffd_best.pth --test_dataset Dataset-1
core,CORE,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/core.yaml,/Users/Hao/thesis-project/training/weights/core_best.pth,explicit,success,,0,mps,277.839,0.5358255451713395,0.30520730021598275,0.652,0.42243841925129744,0.30520730021598275,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/core__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/core.yaml --weights_path /Users/Hao/thesis-project/training/weights/core_best.pth --test_dataset Dataset-1
recce,RECCE,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/recce.yaml,/Users/Hao/thesis-project/training/weights/recce_best.pth,explicit,success,,0,mps,412.951,0.5269989615784009,0.34878764578833693,0.6154,0.4311984739944363,0.34878764578833693,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/recce__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/recce.yaml --weights_path /Users/Hao/thesis-project/training/weights/recce_best.pth --test_dataset Dataset-1
ucf,UCF,spatial,Dataset-1,/Users/Hao/thesis-project/training/config/detector/ucf.yaml,/Users/Hao/thesis-project/training/weights/ucf_best.pth,explicit,success,,0,mps,440.545,0.5472481827622014,0.4419431101511879,0.5368,0.5061953324486885,0.4419431101511879,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/ucf__Dataset-1.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/ucf.yaml --weights_path /Users/Hao/thesis-project/training/weights/ucf_best.pth --test_dataset Dataset-1
