detector_key,detector_name,family,dataset,config_path,weights_path,weight_source,status,status_detail,return_code,device,runtime_sec,acc,auc,eer,ap,video_auc,log_path,command
xception,Xception,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml,/Users/Hao/thesis-project/training/weights/xception_best.pth,explicit,success,,0,mps,353.401,0.47255,0.430087405,0.5598,0.45829074175490203,0.430087405,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/xception__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/xception_cpu.yaml --weights_path /Users/Hao/thesis-project/training/weights/xception_best.pth --test_dataset NVIDIA-dataset
mesonet,MesoNet,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/meso4.yaml,/Users/Hao/thesis-project/training/weights/meso4_best.pth,explicit,success,,0,mps,90.384,0.50065,0.51938042,0.4849,0.5005343575423739,0.51938042,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/mesonet__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4_best.pth --test_dataset NVIDIA-dataset
mesoinception,MesoInception,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml,/Users/Hao/thesis-project/training/weights/meso4Incep_best.pth,explicit,success,,0,mps,96.495,0.47755,0.467774925,0.5226,0.4724492762690568,0.467774925,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/mesoinception__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/meso4Inception.yaml --weights_path /Users/Hao/thesis-project/training/weights/meso4Incep_best.pth --test_dataset NVIDIA-dataset
cnn-aug,CNN-Aug,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/resnet34.yaml,/Users/Hao/thesis-project/training/weights/cnnaug_best.pth,explicit,success,,0,mps,234.54,0.45155,0.41845626,0.5522,0.4480404530052523,0.41845626,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/cnn-aug__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/resnet34.yaml --weights_path /Users/Hao/thesis-project/training/weights/cnnaug_best.pth --test_dataset NVIDIA-dataset
efficientnet-b4,EfficientNet-B4,naive,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml,/Users/Hao/thesis-project/training/weights/effnb4_best.pth,explicit,success,,0,mps,658.718,0.4721,0.44875323,0.5354,0.46652002332075293,0.44875323,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/efficientnet-b4__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/efficientnetb4.yaml --weights_path /Users/Hao/thesis-project/training/weights/effnb4_best.pth --test_dataset NVIDIA-dataset
capsule,Capsule,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/capsule_net.yaml,/Users/Hao/thesis-project/training/weights/capsule_best.pth,explicit,success,,0,mps,459.194,0.4126,0.38380374,0.5876,0.4321233874789989,0.38380374,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/capsule__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/capsule_net.yaml --weights_path /Users/Hao/thesis-project/training/weights/capsule_best.pth --test_dataset NVIDIA-dataset
ffd,FFD,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/ffd.yaml,/Users/Hao/thesis-project/training/weights/ffd_best.pth,explicit,success,,0,mps,497.776,0.4539,0.43281134,0.5514,0.44519007008957817,0.43281134,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/ffd__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/ffd.yaml --weights_path /Users/Hao/thesis-project/training/weights/ffd_best.pth --test_dataset NVIDIA-dataset
core,CORE,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/core.yaml,/Users/Hao/thesis-project/training/weights/core_best.pth,explicit,success,,0,mps,500.873,0.43575,0.36563376999999997,0.5997,0.41328427488941627,0.36563376999999997,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/core__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/core.yaml --weights_path /Users/Hao/thesis-project/training/weights/core_best.pth --test_dataset NVIDIA-dataset
recce,RECCE,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/recce.yaml,/Users/Hao/thesis-project/training/weights/recce_best.pth,explicit,success,,0,mps,743.795,0.471,0.437742355,0.5425,0.4561449817724771,0.437742355,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/recce__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/recce.yaml --weights_path /Users/Hao/thesis-project/training/weights/recce_best.pth --test_dataset NVIDIA-dataset
ucf,UCF,spatial,NVIDIA-dataset,/Users/Hao/thesis-project/training/config/detector/ucf.yaml,/Users/Hao/thesis-project/training/weights/ucf_best.pth,explicit,success,,0,mps,981.664,0.478,0.41942114500000005,0.5592,0.44763753225666686,0.41942114500000005,/Users/Hao/thesis-project/training/results/stage_c_existing_detectors/logs/ucf__NVIDIA-dataset.log,/Users/Hao/miniconda3/envs/DeepfakeBench/bin/python /Users/Hao/thesis-project/training/test.py --detector_path /Users/Hao/thesis-project/training/config/detector/ucf.yaml --weights_path /Users/Hao/thesis-project/training/weights/ucf_best.pth --test_dataset NVIDIA-dataset
